panel_id	group_col	n	accuracy	mean_top_prob	median_top_prob	mean_gap	high_or_moderate_frac
P1_macroregion_africa_vs_asia	macroregion_3	1600	1	0.942100625	0.957	0.88420125	0.96
P2_subregion_within_africa	subregion	525	0.72952380952381	0.617687619047619	0.605	0.386878095238095	0.0285714285714286
P3_subregion_within_asia	subregion	1075	0.96093023255814	0.67437023255814	0.702	0.486246511627907	0.0818604651162791
