panel_id	group_col	K	sample_id	top_group	top_posterior	second_group	second_posterior	posterior_gap	n_snps_used	confidence	status	note
P3_subregion_within_asia	subregion	200	Bd_2023_4						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	200	Bd_2023_5						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	200	Bd_2023_6						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	200	Bd_2024_1						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	200	Bd_2024_3						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	200	Bd_2024_4						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	200	FAVV_14						200	Low	too_few_snps	Need >= 300; have 200
P3_subregion_within_asia	subregion	500	Bd_2023_4	S_Asia	1	SE_Asia	2.4342522668168e-31	1	500	High	ok	""
P3_subregion_within_asia	subregion	500	Bd_2023_5	SE_Asia	0.870225012679012	E_Asia	0.129774987320978	0.740450025358034	500	Moderate	ok	""
P3_subregion_within_asia	subregion	500	Bd_2023_6	S_Asia	1	SE_Asia	3.00728468201661e-39	1	500	High	ok	""
P3_subregion_within_asia	subregion	500	Bd_2024_1	S_Asia	0.999999999999979	SE_Asia	2.16397667274875e-14	0.999999999999957	499	High	ok	""
P3_subregion_within_asia	subregion	500	Bd_2024_3	S_Asia	0.999995572344271	SE_Asia	4.4276557291108e-06	0.999991144688542	500	High	ok	""
P3_subregion_within_asia	subregion	500	Bd_2024_4	S_Asia	0.999998324811452	E_Asia	1.26637763426342e-06	0.999997058433818	500	High	ok	""
P3_subregion_within_asia	subregion	500	FAVV_14	S_Asia	1	SE_Asia	8.31697423330759e-53	1	500	High	ok	""
P3_subregion_within_asia	subregion	1000	Bd_2023_4	S_Asia	1	SE_Asia	1.93925997760556e-48	1	1000	High	ok	""
P3_subregion_within_asia	subregion	1000	Bd_2023_5	E_Asia	1	SE_Asia	1.96167827701144e-18	1	1000	High	ok	""
P3_subregion_within_asia	subregion	1000	Bd_2023_6	S_Asia	1	SE_Asia	3.8725495925259e-75	1	999	High	ok	""
