panel_id	group_col	K	sample_id	top_group	top_posterior	second_group	second_posterior	posterior_gap	n_snps_used	confidence	status	note
P2_subregion_within_africa	subregion	10	FAVV_3						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_4						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_5						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_6						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_7						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_11						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_12						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	10	FAVV_13						10	Low	too_few_snps	Need >= 300; have 10
P2_subregion_within_africa	subregion	20	Bd_2023_7						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	Bd_2024_2						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_1						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_2						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_3						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_4						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_5						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_6						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_7						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_11						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_12						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	20	FAVV_13						20	Low	too_few_snps	Need >= 300; have 20
P2_subregion_within_africa	subregion	50	Bd_2023_7						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	Bd_2024_2						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_1						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_2						49	Low	too_few_snps	Need >= 300; have 49
P2_subregion_within_africa	subregion	50	FAVV_3						49	Low	too_few_snps	Need >= 300; have 49
P2_subregion_within_africa	subregion	50	FAVV_4						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_5						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_6						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_7						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_11						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_12						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	50	FAVV_13						50	Low	too_few_snps	Need >= 300; have 50
P2_subregion_within_africa	subregion	100	Bd_2023_7						99	Low	too_few_snps	Need >= 300; have 99
P2_subregion_within_africa	subregion	100	Bd_2024_2						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_1						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_2						99	Low	too_few_snps	Need >= 300; have 99
P2_subregion_within_africa	subregion	100	FAVV_3						99	Low	too_few_snps	Need >= 300; have 99
P2_subregion_within_africa	subregion	100	FAVV_4						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_5						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_6						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_7						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_11						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_12						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	100	FAVV_13						100	Low	too_few_snps	Need >= 300; have 100
P2_subregion_within_africa	subregion	200	Bd_2023_7						199	Low	too_few_snps	Need >= 300; have 199
P2_subregion_within_africa	subregion	200	Bd_2024_2						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_1						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_2						199	Low	too_few_snps	Need >= 300; have 199
P2_subregion_within_africa	subregion	200	FAVV_3						198	Low	too_few_snps	Need >= 300; have 198
P2_subregion_within_africa	subregion	200	FAVV_4						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_5						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_6						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_7						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_11						200	Low	too_few_snps	Need >= 300; have 200
P2_subregion_within_africa	subregion	200	FAVV_12						199	Low	too_few_snps	Need >= 300; have 199
P2_subregion_within_africa	subregion	200	FAVV_13						199	Low	too_few_snps	Need >= 300; have 199
P2_subregion_within_africa	subregion	500	Bd_2023_7	W_Africa	0.999884456822819	E_Africa	0.000115543177180849	0.999768913645638	499	High	ok	""
P2_subregion_within_africa	subregion	500	Bd_2024_2	E_Africa	0.514399086971686	W_Africa	0.485600913028315	0.028798173943371	500	Low	low_gap	posterior_gap<0.25
P2_subregion_within_africa	subregion	500	FAVV_1	E_Africa	0.999999995918527	W_Africa	4.08147266530867e-09	0.999999991837054	500	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_2	E_Africa	0.999999984302851	W_Africa	1.56971494403564e-08	0.999999968605701	498	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_3	W_Africa	0.999997478629904	E_Africa	2.52137009613668e-06	0.999994957259808	498	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_4	W_Africa	0.999888135315278	E_Africa	0.000111864684722229	0.999776270630556	500	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_5	E_Africa	0.999999971342217	W_Africa	2.86577829373809e-08	0.999999942684434	500	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_6	W_Africa	0.999999988758993	E_Africa	1.12410065308877e-08	0.999999977517987	500	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_7	E_Africa	0.999999999999972	W_Africa	2.84210719943733e-14	0.999999999999943	499	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_11	E_Africa	0.999999645606447	W_Africa	3.54393552882007e-07	0.999999291212894	500	High	ok	""
P2_subregion_within_africa	subregion	500	FAVV_12	E_Africa	0.5782376755927	W_Africa	0.4217623244073	0.156475351185401	499	Low	low_gap	posterior_gap<0.25
P2_subregion_within_africa	subregion	500	FAVV_13	W_Africa	0.999999867838824	E_Africa	1.32161176349673e-07	0.999999735677647	498	High	ok	""
P2_subregion_within_africa	subregion	1000	Bd_2023_7	W_Africa	0.999940344125702	E_Africa	5.96558742976888e-05	0.999880688251405	997	High	ok	""
P2_subregion_within_africa	subregion	1000	Bd_2024_2	W_Africa	0.999989854595779	E_Africa	1.01454042205134e-05	0.999979709191559	1000	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_1	E_Africa	0.999999999999997	W_Africa	2.82414484803873e-15	0.999999999999994	999	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_2	E_Africa	0.999999981421178	W_Africa	1.85788215532055e-08	0.999999962842357	997	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_3	W_Africa	0.999999999741183	E_Africa	2.58817067141481e-10	0.999999999482366	998	High	ok	""
P2_subregion_within_africa	subregion	1000	FAVV_4	W_Africa	1	E_Africa	7.68657722366552e-17	1	1000	High	ok	""
