og	label	allowed_extra
OG10097	Bdors	TRUE
OG10097	Blati	TRUE
OG10098	Bdors	TRUE
OG10098	Blati	TRUE
OG10099	Bdors	TRUE
OG10099	Blati	TRUE
OG101	Bdors	TRUE
OG101	Blati	TRUE
OG1010	Bdors	TRUE
OG1010	Blati	TRUE
OG10100	Bdors	TRUE
OG10100	Blati	TRUE
OG10101	Bdors	TRUE
OG10101	Blati	TRUE
OG10102	Bdors	TRUE
OG10102	Blati	TRUE
OG10103	Bdors	TRUE
OG10103	Blati	TRUE
OG10104	Bdors	TRUE
OG10104	Blati	TRUE
OG10105	Bdors	TRUE
OG10105	Blati	TRUE
OG10106	Bdors	TRUE
OG10106	Blati	TRUE
OG10107	Bdors	TRUE
OG10107	Blati	TRUE
OG10108	Bdors	TRUE
OG10108	Blati	TRUE
OG10109	Bdors	TRUE
OG10109	Blati	TRUE
OG1011	Bdors	TRUE
OG1011	Blati	TRUE
OG10110	Bdors	TRUE
OG10110	Blati	TRUE
OG10111	Bdors	TRUE
OG10111	Blati	TRUE
OG10112	Bdors	TRUE
OG10112	Blati	TRUE
OG10113	Bdors	TRUE
OG10113	Blati	TRUE
OG10114	Bdors	TRUE
OG10114	Blati	TRUE
OG10115	Bdors	TRUE
OG10115	Blati	TRUE
OG10116	Bdors	TRUE
OG10116	Blati	TRUE
OG10117	Bdors	TRUE
OG10117	Blati	TRUE
OG10118	Bdors	TRUE
OG10118	Blati	TRUE
OG10119	Bdors	TRUE
OG10119	Blati	TRUE
OG1012	Bdors	TRUE
OG1012	Blati	TRUE
OG10120	Bdors	TRUE
OG10120	Blati	TRUE
OG10121	Bdors	TRUE
OG10121	Blati	TRUE
OG10122	Bdors	TRUE
OG10122	Blati	TRUE
OG10123	Bdors	TRUE
OG10123	Blati	TRUE
OG10124	Bdors	TRUE
OG10124	Blati	TRUE
OG10125	Bdors	TRUE
OG10125	Blati	TRUE
OG10126	Bdors	TRUE
OG10126	Blati	TRUE
OG10127	Bdors	TRUE
OG10127	Blati	TRUE
OG10128	Bdors	TRUE
OG10128	Blati	TRUE
OG10129	Bdors	TRUE
OG10129	Blati	TRUE
OG1013	Bdors	TRUE
OG1013	Blati	TRUE
OG10130	Bdors	TRUE
OG10130	Blati	TRUE
OG10131	Bdors	TRUE
OG10131	Blati	TRUE
OG10132	Bdors	TRUE
OG10132	Blati	TRUE
OG10133	Bdors	TRUE
OG10133	Blati	TRUE
OG10134	Bdors	TRUE
OG10134	Blati	TRUE
OG10135	Bdors	TRUE
OG10135	Blati	TRUE
OG10136	Bdors	TRUE
OG10136	Blati	TRUE
OG10137	Bdors	TRUE
OG10137	Blati	TRUE
OG10138	Bdors	TRUE
OG10138	Blati	TRUE
OG10139	Bdors	TRUE
OG10139	Blati	TRUE
OG1014	Bdors	TRUE
OG1014	Blati	TRUE
OG10140	Bdors	TRUE
OG10140	Blati	TRUE
OG10141	Bdors	TRUE
OG10141	Blati	TRUE
OG10142	Bdors	TRUE
OG10142	Blati	TRUE
OG10143	Bdors	TRUE
OG10143	Blati	TRUE
OG10144	Bdors	TRUE
OG10144	Blati	TRUE
OG10145	Bdors	TRUE
OG10145	Blati	TRUE
OG10146	Bdors	TRUE
OG10146	Blati	TRUE
OG10147	Bdors	TRUE
OG10147	Blati	TRUE
OG10148	Bdors	TRUE
OG10148	Blati	TRUE
OG10149	Bdors	TRUE
OG10149	Blati	TRUE
OG1015	Bdors	TRUE
OG1015	Blati	TRUE
OG10150	Bdors	TRUE
OG10150	Blati	TRUE
OG10151	Bdors	TRUE
OG10151	Blati	TRUE
OG10152	Bdors	TRUE
OG10152	Blati	TRUE
OG10153	Bdors	TRUE
OG10153	Blati	TRUE
OG10154	Bdors	TRUE
OG10154	Blati	TRUE
OG10155	Bdors	TRUE
OG10155	Blati	TRUE
OG10156	Bdors	TRUE
OG10156	Blati	TRUE
OG10157	Bdors	TRUE
OG10157	Blati	TRUE
OG10158	Bdors	TRUE
OG10158	Blati	TRUE
OG10159	Bdors	TRUE
OG10159	Blati	TRUE
OG1016	Bdors	TRUE
OG1016	Blati	TRUE
OG10160	Bdors	TRUE
OG10160	Blati	TRUE
OG10161	Bdors	TRUE
OG10161	Blati	TRUE
OG10162	Bdors	TRUE
OG10162	Blati	TRUE
OG10163	Bdors	TRUE
OG10163	Blati	TRUE
OG10164	Bdors	TRUE
OG10164	Blati	TRUE
OG10165	Bdors	TRUE
OG10165	Blati	TRUE
OG10166	Bdors	TRUE
OG10166	Blati	TRUE
OG10167	Bdors	TRUE
OG10167	Blati	TRUE
OG10168	Bdors	TRUE
OG10168	Blati	TRUE
OG10169	Bdors	TRUE
OG10169	Blati	TRUE
OG1017	Bdors	TRUE
OG1017	Blati	TRUE
OG10170	Bdors	TRUE
OG10170	Blati	TRUE
OG10171	Bdors	TRUE
OG10171	Blati	TRUE
OG10172	Bdors	TRUE
OG10172	Blati	TRUE
OG10173	Bdors	TRUE
OG10173	Blati	TRUE
OG10174	Bdors	TRUE
OG10174	Blati	TRUE
OG10175	Bdors	TRUE
OG10175	Blati	TRUE
OG10176	Bdors	TRUE
OG10176	Blati	TRUE
OG10177	Bdors	TRUE
OG10177	Blati	TRUE
OG10178	Bdors	TRUE
OG10178	Blati	TRUE
OG10179	Bdors	TRUE
OG10179	Blati	TRUE
OG1018	Bdors	TRUE
OG1018	Blati	TRUE
OG10180	Bdors	TRUE
OG10180	Blati	TRUE
OG10181	Bdors	TRUE
OG10181	Blati	TRUE
OG10182	Bdors	TRUE
OG10182	Blati	TRUE
OG10183	Bdors	TRUE
OG10183	Blati	TRUE
OG10184	Bdors	TRUE
OG10184	Blati	TRUE
OG10185	Bdors	TRUE
OG10185	Blati	TRUE
OG10186	Bdors	TRUE
OG10186	Blati	TRUE
OG10187	Bdors	TRUE
OG10187	Blati	TRUE
OG10188	Bdors	TRUE
OG10188	Blati	TRUE
OG10189	Bdors	TRUE
OG10189	Blati	TRUE
OG1019	Bdors	TRUE
OG1019	Blati	TRUE
OG10190	Bdors	TRUE
OG10190	Blati	TRUE
OG10191	Bdors	TRUE
OG10191	Blati	TRUE
OG10192	Bdors	TRUE
OG10192	Blati	TRUE
OG10193	Bdors	TRUE
OG10193	Blati	TRUE
OG10194	Bdors	TRUE
OG10194	Blati	TRUE
OG10195	Bdors	TRUE
OG10195	Blati	TRUE
OG10196	Bdors	TRUE
OG10196	Blati	TRUE
OG10197	Bdors	TRUE
OG10197	Blati	TRUE
OG10198	Bdors	TRUE
OG10198	Blati	TRUE
OG10199	Bdors	TRUE
OG10199	Blati	TRUE
OG102	Bdors	TRUE
OG102	Blati	TRUE
OG1020	Bdors	TRUE
OG1020	Blati	TRUE
OG10200	Bdors	TRUE
OG10200	Blati	TRUE
OG10201	Bdors	TRUE
OG10201	Blati	TRUE
OG10202	Bdors	TRUE
OG10202	Blati	TRUE
OG10203	Bdors	TRUE
OG10203	Blati	TRUE
OG10204	Bdors	TRUE
OG10204	Blati	TRUE
OG10205	Bdors	TRUE
OG10205	Blati	TRUE
OG10206	Bdors	TRUE
OG10206	Blati	TRUE
OG10207	Bdors	TRUE
OG10207	Blati	TRUE
OG10208	Bdors	TRUE
OG10208	Blati	TRUE
OG10209	Bdors	TRUE
OG10209	Blati	TRUE
OG1021	Bdors	TRUE
OG1021	Blati	TRUE
OG10210	Bdors	TRUE
OG10210	Blati	TRUE
OG10211	Bdors	TRUE
OG10211	Blati	TRUE
OG10212	Bdors	TRUE
OG10212	Blati	TRUE
OG10213	Bdors	TRUE
OG10213	Blati	TRUE
OG10214	Bdors	TRUE
OG10214	Blati	TRUE
OG10215	Bdors	TRUE
OG10215	Blati	TRUE
OG10216	Bdors	TRUE
OG10216	Blati	TRUE
OG10217	Bdors	TRUE
OG10217	Blati	TRUE
OG10218	Bdors	TRUE
OG10218	Blati	TRUE
OG10219	Bdors	TRUE
OG10219	Blati	TRUE
OG1022	Bdors	TRUE
OG1022	Blati	TRUE
OG10220	Bdors	TRUE
OG10220	Blati	TRUE
OG10221	Bdors	TRUE
OG10221	Blati	TRUE
OG10222	Bdors	TRUE
OG10222	Blati	TRUE
OG10223	Bdors	TRUE
OG10223	Blati	TRUE
OG10224	Bdors	TRUE
OG10224	Blati	TRUE
OG10225	Bdors	TRUE
OG10225	Blati	TRUE
OG10226	Bdors	TRUE
OG10226	Blati	TRUE
OG10227	Bdors	TRUE
OG10227	Blati	TRUE
OG10228	Bdors	TRUE
OG10228	Blati	TRUE
OG10229	Bdors	TRUE
OG10229	Blati	TRUE
OG1023	Bdors	TRUE
OG1023	Blati	TRUE
OG10230	Bdors	TRUE
OG10230	Blati	TRUE
OG10231	Bdors	TRUE
OG10231	Blati	TRUE
OG10232	Bdors	TRUE
OG10232	Blati	TRUE
OG10233	Bdors	TRUE
OG10233	Blati	TRUE
OG10234	Bdors	TRUE
OG10234	Blati	TRUE
OG10235	Bdors	TRUE
OG10235	Blati	TRUE
OG10236	Bdors	TRUE
OG10236	Blati	TRUE
OG10237	Bdors	TRUE
OG10237	Blati	TRUE
OG10238	Bdors	TRUE
OG10238	Blati	TRUE
OG10239	Bdors	TRUE
OG10239	Blati	TRUE
OG1024	Bdors	TRUE
OG1024	Blati	TRUE
OG10240	Bdors	TRUE
OG10240	Blati	TRUE
OG10241	Bdors	TRUE
OG10241	Blati	TRUE
OG10242	Bdors	TRUE
OG10242	Blati	TRUE
OG10243	Bdors	TRUE
OG10243	Blati	TRUE
OG10244	Bdors	TRUE
OG10244	Blati	TRUE
OG10245	Bdors	TRUE
OG10245	Blati	TRUE
OG10246	Bdors	TRUE
OG10246	Blati	TRUE
OG10247	Bdors	TRUE
OG10247	Blati	TRUE
OG10248	Bdors	TRUE
OG10248	Blati	TRUE
OG10249	Bdors	TRUE
OG10249	Blati	TRUE
OG1025	Bdors	TRUE
OG1025	Blati	TRUE
OG10250	Bdors	TRUE
OG10250	Blati	TRUE
OG10251	Bdors	TRUE
OG10251	Blati	TRUE
OG10252	Bdors	TRUE
OG10252	Blati	TRUE
OG10253	Bdors	TRUE
OG10253	Blati	TRUE
OG10254	Bdors	TRUE
OG10254	Blati	TRUE
OG10255	Bdors	TRUE
OG10255	Blati	TRUE
OG10256	Bdors	TRUE
OG10256	Blati	TRUE
OG10257	Bdors	TRUE
OG10257	Blati	TRUE
OG10258	Bdors	TRUE
OG10258	Blati	TRUE
OG10259	Bdors	TRUE
OG10259	Blati	TRUE
OG1026	Bdors	TRUE
OG1026	Blati	TRUE
OG10260	Bdors	TRUE
OG10260	Blati	TRUE
OG10261	Bdors	TRUE
OG10261	Blati	TRUE
OG10262	Bdors	TRUE
OG10262	Blati	TRUE
OG10263	Bdors	TRUE
OG10263	Blati	TRUE
OG10264	Bdors	TRUE
OG10264	Blati	TRUE
OG10265	Bdors	TRUE
OG10265	Blati	TRUE
OG10266	Bdors	TRUE
OG10266	Blati	TRUE
OG10267	Bdors	TRUE
OG10267	Blati	TRUE
OG10268	Bdors	TRUE
OG10268	Blati	TRUE
OG10269	Bdors	TRUE
OG10269	Blati	TRUE
OG1027	Bdors	TRUE
OG1027	Blati	TRUE
OG10270	Bdors	TRUE
OG10270	Blati	TRUE
OG10271	Bdors	TRUE
OG10271	Blati	TRUE
OG10272	Bdors	TRUE
OG10272	Blati	TRUE
OG10273	Bdors	TRUE
OG10273	Blati	TRUE
OG10274	Bdors	TRUE
OG10274	Blati	TRUE
OG10275	Bdors	TRUE
OG10275	Blati	TRUE
OG10276	Bdors	TRUE
OG10276	Blati	TRUE
OG10277	Bdors	TRUE
OG10277	Blati	TRUE
OG10278	Bdors	TRUE
OG10278	Blati	TRUE
OG10279	Bdors	TRUE
OG10279	Blati	TRUE
OG1028	Bdors	TRUE
OG1028	Blati	TRUE
OG10280	Bdors	TRUE
OG10280	Blati	TRUE
OG10281	Bdors	TRUE
OG10281	Blati	TRUE
OG10282	Bdors	TRUE
OG10282	Blati	TRUE
OG10283	Bdors	TRUE
OG10283	Blati	TRUE
OG10284	Bdors	TRUE
OG10284	Blati	TRUE
OG10285	Bdors	TRUE
OG10285	Blati	TRUE
OG10286	Bdors	TRUE
OG10286	Blati	TRUE
OG10287	Bdors	TRUE
OG10287	Blati	TRUE
OG10288	Bdors	TRUE
OG10288	Blati	TRUE
OG10289	Bdors	TRUE
OG10289	Blati	TRUE
OG1029	Bdors	TRUE
OG1029	Blati	TRUE
OG10290	Bdors	TRUE
OG10290	Blati	TRUE
OG10291	Bdors	TRUE
OG10291	Blati	TRUE
OG10292	Bdors	TRUE
OG10292	Blati	TRUE
OG10293	Bdors	TRUE
OG10293	Blati	TRUE
OG10294	Bdors	TRUE
OG10294	Blati	TRUE
OG10295	Bdors	TRUE
OG10295	Blati	TRUE
OG10296	Bdors	TRUE
OG10296	Blati	TRUE
OG10297	Bdors	TRUE
OG10297	Blati	TRUE
OG10298	Bdors	TRUE
OG10298	Blati	TRUE
OG10299	Bdors	TRUE
OG10299	Blati	TRUE
OG103	Bdors	TRUE
OG103	Blati	TRUE
OG1030	Bdors	TRUE
OG1030	Blati	TRUE
OG10300	Bdors	TRUE
OG10300	Blati	TRUE
OG10301	Bdors	TRUE
OG10301	Blati	TRUE
OG10302	Bdors	TRUE
OG10302	Blati	TRUE
OG10303	Bdors	TRUE
OG10303	Blati	TRUE
OG10304	Bdors	TRUE
OG10304	Blati	TRUE
OG10305	Bdors	TRUE
