og	sample_id
OG10075	Bd_2023_3
OG10076	ReuPie1
OG10076	Bd_2023_1
OG10077	ReuPie4
OG10077	Bd_2023_1
OG10077	Bd_2023_3
OG10078	Bd_2023_1
OG10079	Bd_2023_1
OG1008	ReuPie1
OG1008	ReuPie4
OG10080	Bd_2023_1
OG10081	ReuPie1
OG10081	ReuPie4
OG10081	Bd_2023_1
OG10081	Bd_2023_2
OG10081	Bd_2023_3
OG10082	Bd_2023_1
OG10082	Bd_2023_3
OG10083	ReuPie1
OG10083	Bd_2023_1
OG10083	Bd_2023_2
OG10083	Bd_2023_3
OG10084	ReuPie1
OG10084	Bd_2023_1
OG10084	Bd_2023_2
OG10084	Bd_2023_3
OG10085	ReuPie1
OG10085	Bd_2023_1
OG10085	Bd_2023_3
OG10086	ReuPie1
OG10086	Bd_2023_1
OG10087	Bd_2023_1
OG10087	Bd_2023_2
OG10088	Bd_2023_1
OG10088	Bd_2023_3
OG10089	ReuPie4
OG10089	Bd_2023_1
OG10089	Bd_2023_2
OG1009	ReuPie1
OG1009	ReuPie4
OG1009	Bd_2023_1
OG1009	Bd_2023_3
OG10090	ReuPie1
OG10090	ReuPie4
OG10090	Bd_2023_1
OG10090	Bd_2023_3
OG10091	Bd_2023_3
OG10092	Bd_2023_1
OG10092	Bd_2023_2
OG10092	Bd_2023_3
OG10093	ReuPie1
OG10093	ReuPie4
OG10093	Bd_2023_1
OG10093	Bd_2023_3
OG10094	ReuPie1
OG10094	ReuPie4
OG10094	Bd_2023_1
OG10094	Bd_2023_2
OG10094	Bd_2023_3
OG10095	ReuPie1
OG10095	ReuPie4
OG10095	Bd_2023_2
OG10096	ReuPie1
OG10096	ReuPie4
OG10096	Bd_2023_1
OG10096	Bd_2023_2
OG10096	Bd_2023_3
OG10097	ReuPie1
OG10097	Bd_2023_1
OG10097	Bd_2023_2
OG10097	Bd_2023_3
OG10098	ReuPie4
OG10098	Bd_2023_1
OG10098	Bd_2023_2
OG10098	Bd_2023_3
OG10099	ReuPie4
OG10099	Bd_2023_1
OG10099	Bd_2023_3
OG101	ReuPie4
OG101	Bd_2023_1
OG1010	ReuPie1
OG1010	ReuPie4
OG1010	Bd_2023_1
OG10100	ReuPie1
OG10100	Bd_2023_1
OG10101	ReuPie1
OG10101	ReuPie4
OG10101	Bd_2023_1
OG10101	Bd_2023_3
OG10102	ReuPie4
OG10102	Bd_2023_1
OG10102	Bd_2023_2
OG10102	Bd_2023_3
OG10104	ReuPie1
OG10104	Bd_2023_1
OG10105	Bd_2023_1
OG10106	Bd_2023_1
OG10108	Bd_2023_2
OG10109	YNJH02
OG10109	YNJH05
OG1011	ReuPie1
OG1011	Bd_2023_1
OG1011	Bd_2023_2
OG10110	ReuPie4
OG10111	NGNS02
OG10111	ReuPie1
OG10111	ReuPie4
OG10111	Bd_2023_1
OG10111	Bd_2023_3
OG10112	ReuPie1
OG10112	ReuPie4
OG10112	Bd_2023_1
OG10113	Bd_2023_1
OG10113	Bd_2023_2
OG10114	ReuPie1
OG10115	ReuPie1
OG10115	Bd_2023_3
OG10116	ReuPie1
OG10116	ReuPie4
OG10116	Bd_2023_1
OG10116	Bd_2023_2
OG10116	Bd_2023_3
OG10117	ReuPie1
OG10118	Bd_2023_1
OG10119	ReuPie4
OG10119	Bd_2023_1
OG10119	Bd_2023_2
OG1012	ReuPie4
OG1012	Bd_2023_1
OG1012	Bd_2023_3
OG10120	ReuPie1
OG10120	Bd_2023_1
OG10120	Bd_2023_2
OG10120	Bd_2023_3
OG10121	NGNS02
OG10121	ReuPie4
OG10122	ReuPie1
OG10122	Bd_2023_1
OG10122	Bd_2023_2
OG10122	Bd_2023_3
OG10123	Bd_2023_1
OG10124	ReuPie4
OG10124	Bd_2023_1
OG10124	Bd_2023_2
OG10124	Bd_2023_3
OG10125	ReuPie1
OG10125	Bd_2023_1
OG10125	Bd_2023_3
OG10126	ReuPie1
OG10126	ReuPie4
OG10126	Bd_2023_1
OG10126	Bd_2023_3
OG10127	ReuPie1
OG10127	Bd_2023_3
OG10128	Bd_2023_1
OG10128	Bd_2023_2
OG10128	Bd_2023_3
OG10129	ReuPie4
OG10129	Bd_2023_1
OG10129	Bd_2023_2
OG1013	ReuPie4
OG1013	Bd_2023_1
OG1013	Bd_2023_2
OG10131	Bd_2023_1
OG10132	Bd_2023_1
OG10132	Bd_2023_2
OG10133	ReuPie4
OG10133	Bd_2023_2
OG10134	Bd_2023_2
OG10134	Bd_2023_3
OG10135	ReuPie1
OG10135	ReuPie4
OG10135	Bd_2023_3
OG10136	ReuPie4
OG10136	Bd_2023_1
OG10137	ReuPie1
OG10137	ReuPie4
OG10137	Bd_2023_1
OG10137	Bd_2023_2
OG10137	Bd_2023_3
OG10139	ReuPie1
OG10139	ReuPie4
OG10139	Bd_2023_1
OG10139	Bd_2023_2
OG1014	ReuPie1
OG1014	ReuPie4
OG1014	Bd_2023_1
OG10140	ReuPie4
OG10140	Bd_2023_1
OG10140	Bd_2023_3
OG10141	ReuPie1
OG10141	ReuPie4
OG10141	Bd_2023_1
OG10141	Bd_2023_2
OG10141	Bd_2023_3
OG10142	ReuPie4
OG10142	Bd_2023_1
OG10143	ReuPie4
OG10143	Bd_2023_2
OG10143	Bd_2023_3
OG10144	ReuPie4
OG10144	Bd_2023_3
OG10145	TWPD05
OG10145	ReuPie1
OG10145	Bd_2023_1
OG10146	NGNS02
OG10146	ReuPie4
OG10146	Bd_2023_1
OG10146	Bd_2023_2
OG10146	Bd_2023_3
OG10147	NGNS02
OG10147	ReuPie4
OG10147	Bd_2023_1
OG10147	Bd_2023_2
OG10148	ComAnj1
OG10148	ComAnj2
OG10148	ComAnj3
OG10148	ComAnj5
OG10148	ComGra2
OG10148	ComMoh2
OG10148	ComMoh3
OG10148	ComMoh5
OG10148	MadAmb1
OG10148	MadAmb3
OG10148	MadAmb4
OG10148	MadAmb5
OG10148	MadMah3
OG10148	MadMah4
OG10148	MadMah5
OG10148	MadMan1
OG10148	MadMan2
OG10148	MayDem1
OG10148	MayDem4
OG10148	MaySad1
OG10148	MaySad2
OG10148	MaySad3
OG10148	MaySad4
OG10148	MaySad5
OG10148	BIBJ02
OG10148	BIBJ05
OG10148	CIBD03
OG10148	ETMS01
OG10148	ETMS02
OG10148	ETMS03
OG10148	ETMS05
OG10148	GHND01
OG10148	GHND03
OG10148	GHND04
OG10148	GHND05
OG10148	KENB01
OG10148	KENB03
OG10148	MGAT06
OG10148	MGAT05
OG10148	MLBM04
OG10148	MWZB01
OG10148	MWZB04
OG10148	NGNS03
OG10148	SDSG02
OG10148	SDSG03
OG10148	SDSG05
OG10148	ZAMP02
OG10148	ReuPie1
OG10148	ReuPie4
OG10148	Bd_2023_1
OG10148	Bd_2024_2
OG10148	FAVV_4
OG10148	FAVV_5
OG10148	FAVV_7
OG10149	ReuPie1
OG1015	ReuPie1
OG1015	Bd_2023_1
OG1015	Bd_2023_2
OG10150	ReuPie1
OG10150	ReuPie4
OG10150	Bd_2023_1
OG10151	ReuPie4
OG10151	Bd_2023_1
OG10151	Bd_2023_2
OG10151	Bd_2023_3
OG10152	Bd_2023_1
OG10152	Bd_2023_3
OG10153	ReuPie1
OG10153	Bd_2023_1
OG10153	Bd_2023_3
OG10155	ReuPie1
OG10155	ReuPie4
OG10155	Bd_2023_1
OG10155	Bd_2023_3
OG10156	ReuPie1
OG10156	ReuPie4
OG10156	Bd_2023_1
OG10156	Bd_2023_3
OG10157	ReuPie1
OG10157	ReuPie4
OG10157	Bd_2023_1
OG10157	Bd_2023_2
